Province,Districts (srŏk) | Municipalities (krong) | 14 sections (khan),Position,Lat,Long,,,,,,,,
Phnom Penh,Chamkar Mon  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Doun Penh  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Prampir Makara  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Tuol Kouk  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Dangkao   ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Mean Chey  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Russey Keo  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Sen Sok  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Pou Senchey  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Chrouy Changvar  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Prek Pnov  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Chbar Ampov  ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Boeng Keng Kang ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Phnom Penh,Kombol   ,11°34′10″N 104°55′16″E,11.5694444,104.9211111,,,,,,,,
Banteay Meanchey,Mongkol Borei  ,13°45′0″N 103°0′0″E,13.75,103,,,,,,,,
Banteay Meanchey,Phnum Srok  ,13°45′0″N 103°0′0″E,13.75,103,,,,,,,,
Banteay Meanchey,Preah Netr Preah ,13°45′0″N 103°0′0″E,13.75,103,,,,,,,,
Banteay Meanchey,Ou Chrov  ,13°45′0″N 103°0′0″E,13.75,103,,,,,,,,
Banteay Meanchey,Serei Saophoan Municipality ,13°45′0″N 103°0′0″E,13.75,103,,,,,,,,
Banteay Meanchey,Thma Puok  ,13°45′0″N 103°0′0″E,13.75,103,,,,,,,,
Banteay Meanchey,Svay Chek  ,13°45′0″N 103°0′0″E,13.75,103,,,,,,,,
Banteay Meanchey,Malai   ,13°45′0″N 103°0′0″E,13.75,103,,,,,,,,
Banteay Meanchey,Paoy Paet Municipality ,13°45′0″N 103°0′0″E,13.75,103,,,,,,,,
Battambang   ,Banan   ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Thma Koul  ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Battambang Municipality  ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Bavel   ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Ek Phnom  ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Moung Ruessi  ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Rotanak Mondol  ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Sangkae   ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Samlout   ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Sampov Loun  ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Phnum Proek  ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Kamrieng   ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Koas Krala  ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Battambang   ,Rukhak Kiri  ,13°1′43″N 102°59′22″E,13.0286111,102.9894444,,,,,,,,
Kampong Cham  ,Batheay   ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Kampong Cham  ,Chamkar Leu  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Kampong Cham  ,Cheung Prey  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Kampong Cham  ,Kampong Cham Municipality ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Kampong Cham  ,Kampong Siem  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Kampong Cham  ,Kang Meas  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Kampong Cham  ,Koh Sotin  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Kampong Cham  ,Prey Chhor  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Kampong Cham  ,Srey Santhor  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Kampong Cham  ,Stueng Trang  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Kampong Chhnang  ,Baribour   ,12°26′0″N 104°27′0″E,12.4333333,104.45,,,,,,,,
Kampong Chhnang  ,Chol Kiri  ,12°26′0″N 104°27′0″E,12.4333333,104.45,,,,,,,,
Kampong Chhnang  ,Kampong Chhnang Municipality ,12°26′0″N 104°27′0″E,12.4333333,104.45,,,,,,,,
Kampong Chhnang  ,Kampong Leaeng  ,12°26′0″N 104°27′0″E,12.4333333,104.45,,,,,,,,
Kampong Chhnang  ,Kampong Tralach  ,12°26′0″N 104°27′0″E,12.4333333,104.45,,,,,,,,
Kampong Chhnang  ,Rolea B'ier  ,12°26′0″N 104°27′0″E,12.4333333,104.45,,,,,,,,
Kampong Chhnang  ,Sameakki Mean Chey ,12°26′0″N 104°27′0″E,12.4333333,104.45,,,,,,,,
Kampong Chhnang  ,Tuek Phos  ,12°26′0″N 104°27′0″E,12.4333333,104.45,,,,,,,,
Kampong Speu  ,Basedth   ,11°30′0″N 104°20′0″E,11.5,104.3333333,,,,,,,,
Kampong Speu  ,Chbar Mon Municipality ,11°30′0″N 104°20′0″E,11.5,104.3333333,,,,,,,,
Kampong Speu  ,Kong Pisei  ,11°30′0″N 104°20′0″E,11.5,104.3333333,,,,,,,,
Kampong Speu  ,Aoral   ,11°30′0″N 104°20′0″E,11.5,104.3333333,,,,,,,,
Kampong Speu  ,Odongk   ,11°30′0″N 104°20′0″E,11.5,104.3333333,,,,,,,,
Kampong Speu  ,Phnom Sruoch  ,11°30′0″N 104°20′0″E,11.5,104.3333333,,,,,,,,
Kampong Speu  ,Samraong Tong  ,11°30′0″N 104°20′0″E,11.5,104.3333333,,,,,,,,
Kampong Speu  ,Thpong   ,11°30′0″N 104°20′0″E,11.5,104.3333333,,,,,,,,
Kampong Thom  ,Baray   ,12°42′0″N 104°53′0″E,12.7,104.8833333,,,,,,,,
Kampong Thom  ,Kampong Svay  ,12°42′0″N 104°53′0″E,12.7,104.8833333,,,,,,,,
Kampong Thom  ,Stueng Saen Municipality ,12°42′0″N 104°53′0″E,12.7,104.8833333,,,,,,,,
Kampong Thom  ,Prasat Balangk  ,12°42′0″N 104°53′0″E,12.7,104.8833333,,,,,,,,
Kampong Thom  ,Prasat Sambour  ,12°42′0″N 104°53′0″E,12.7,104.8833333,,,,,,,,
Kampong Thom  ,Sandaan   ,12°42′0″N 104°53′0″E,12.7,104.8833333,,,,,,,,
Kampong Thom  ,Santuk   ,12°42′0″N 104°53′0″E,12.7,104.8833333,,,,,,,,
Kampong Thom  ,Stoung   ,12°42′0″N 104°53′0″E,12.7,104.8833333,,,,,,,,
Kampot   ,Angkor Chey  ,10°36′0″N 104°10′0″E,10.6,104.1666667,,,,,,,,
Kampot   ,Banteay Meas  ,10°36′0″N 104°10′0″E,10.6,104.1666667,,,,,,,,
Kampot   ,Chhuk   ,10°36′0″N 104°10′0″E,10.6,104.1666667,,,,,,,,
Kampot   ,Chum Kiri  ,10°36′0″N 104°10′0″E,10.6,104.1666667,,,,,,,,
Kampot   ,Dang Tong  ,10°36′0″N 104°10′0″E,10.6,104.1666667,,,,,,,,
Kampot   ,Kampong Trach  ,10°36′0″N 104°10′0″E,10.6,104.1666667,,,,,,,,
Kampot   ,Tuek Chhou  ,10°36′0″N 104°10′0″E,10.6,104.1666667,,,,,,,,
Kampot   ,Kampot Municipality  ,10°36′0″N 104°10′0″E,10.6,104.1666667,,,,,,,,
Kandal   ,Kandal Stueng  ,13°51′45″N 100°30′52″E,13.8625,100.5144444,,,,,,,,
